epoch;loss;val_loss
99;0.026469403877854347;NA
0;0.07589581608772278;NA
1;0.05962679162621498;NA
2;0.058140430599451065;NA
3;0.0541095994412899;NA
4;0.051383957266807556;NA
5;0.048956479877233505;NA
6;0.04446158558130264;NA
7;0.04049608111381531;NA
8;0.037817906588315964;NA
9;0.036224495619535446;NA
10;0.035323526710271835;NA
11;0.03435666114091873;NA
12;0.0336570143699646;NA
13;0.03414325416088104;NA
14;0.03199204057455063;NA
15;0.03275860846042633;NA
16;0.03126935660839081;NA
17;0.03213123232126236;NA
18;0.03146687150001526;NA
19;0.030366357415914536;NA
20;0.031018860638141632;NA
21;0.030890848487615585;NA
22;0.030266758054494858;NA
23;0.03068026341497898;NA
24;0.030233124271035194;NA
25;0.030359920114278793;NA
26;0.029673205688595772;NA
